stateabbr,statedesc,countyname,countyfips,totalpopulation,obesity_crudeprev,lpa_crudeprev,csmoking_crudeprev,depression_crudeprev,bphigh_crudeprev,access2_crudeprev
TX,Texas,Rains,48379,12986,35.8,27.5,14.6,23.3,40.5,12.4
TX,Texas,Caldwell,48055,49859,42.2,33.3,14.4,21.4,34.9,25.9
TX,Texas,Wilbarger,48487,12522,39.6,35.8,18.2,23.7,40.3,21.3
TX,Texas,Hood,48221,67774,33.2,24.7,12,22.6,38,11.7
TX,Texas,Schleicher,48413,2391,36,30.7,12.3,20.2,37.1,22.5
TX,Texas,Bailey,48017,6672,38.8,36.4,14.4,21.2,35.6,30.2
TX,Texas,Gregg,48183,126243,36.8,29.1,15.3,23.7,37.6,16.3
TX,Texas,Johnson,48251,202906,33.4,27,14.4,23.2,33.8,16.3
TX,Texas,Blanco,48031,13048,34.5,24.1,11.5,21.5,38.7,11.9
TX,Texas,Cameron,48061,426710,40.3,36.9,13,18.9,34,35.9
TX,Texas,Zavala,48507,9312,47.5,48.4,18,20.8,40.6,42.4
TX,Texas,Guadalupe,48187,188454,34.7,25.9,12.5,22.1,33.8,17.1
TX,Texas,Armstrong,48011,1832,33.3,24.9,12.8,23,38,11.4
TX,Texas,Wise,48497,78097,34.1,26.6,14.8,23.5,34.5,15.2
TX,Texas,Hudspeth,48229,3451,41,38.5,18.7,20.5,33,38.6
TX,Texas,Travis,48453,1334961,30.4,19.9,9.5,22.1,26.6,13.9
TX,Texas,Reeves,48389,11770,40.7,41.5,15.6,19.6,35.6,37.3
TX,Texas,DeWitt,48123,19929,37.6,33,16,21.5,40.2,21.2
TX,Texas,Washington,48477,37007,35.7,26.5,12.1,21.7,38.5,13.2
TX,Texas,Coryell,48099,84878,37.3,26.8,14.1,24,30.4,16
TX,Texas,Jeff Davis,48243,1856,37.9,34.2,14.4,21,50.1,17.5
TX,Texas,Starr,48427,65934,45,47,16.9,21.2,36.6,43.5
TX,Texas,Hutchinson,48233,20033,35.1,28.2,14.8,23.4,36,16.7
TX,Texas,Hamilton,48193,8619,36.1,30,15.3,23.2,41.3,14.6
TX,Texas,Kinney,48271,3148,36.8,32,12.2,19.4,39.2,25.4
TX,Texas,Wood,48499,47921,34.3,28.6,14.8,23.2,41.2,13.6
TX,Texas,Live Oak,48297,11584,39.7,35,16.8,21.4,40,25.3
TX,Texas,Donley,48129,3214,34.2,28.8,14.3,23.6,39.4,14.6
TX,Texas,Palo Pinto,48363,29747,39.4,30.7,16.3,24,38.6,16.7
TX,Texas,Floyd,48153,5090,39.1,36.5,15.2,21,38.9,27.6
TX,Texas,Shelby,48419,24179,41.1,35.2,18.5,23.9,42,18.9
TX,Texas,Erath,48143,44195,33.4,25.1,12.9,24.9,30.9,14.7
TX,Texas,Chambers,48071,53876,35,25,13.4,23.4,32.1,15.9
TX,Texas,Borden,48033,572,33.2,25.5,12.4,21.7,39.6,11.4
TX,Texas,Frio,48163,17987,40.5,38.6,15,19.5,33.1,37
TX,Texas,Aransas,48007,25374,36,30.2,14.1,22.4,43.5,16
TX,Texas,Victoria,48469,91664,37.2,31.6,13.9,21.6,35.4,22.5
TX,Texas,Haskell,48207,5385,36.6,32.1,16.3,22.9,39.3,20.2
TX,Texas,Liberty,48291,108272,40.1,34.5,17.8,23.7,35.4,23.8
TX,Texas,Coke,48081,3352,36.3,31.7,15.3,22.9,42.3,16.8
TX,Texas,Lamar,48277,51127,38.5,30.1,16.7,24.6,39.9,14.2
TX,Texas,Garza,48169,4517,39.9,36,16.9,20.9,35.5,30.9
TX,Texas,Briscoe,48045,1445,39.5,34.5,16.8,22.8,43.4,20.5
TX,Texas,Sutton,48435,3221,38.3,35.8,14,20.1,39.2,27.2
TX,Texas,Williamson,48491,697191,32.6,22.5,9.9,20.4,29.2,12.2
TX,Texas,Kaufman,48257,185690,38,27.3,14,22.2,32.5,16.8
TX,Texas,Crockett,48105,2858,37.7,35.3,14.3,20.3,37.7,28.2
TX,Texas,Maverick,48323,57762,43.9,41.7,14.2,19.7,34.4,38.8
TX,Texas,Pecos,48371,14623,40.2,37.4,15.8,19.6,36.2,31.1
TX,Texas,Montague,48337,21598,35,28.4,15.7,24.4,38.7,14.1
TX,Texas,Moore,48341,21190,39,35.9,15.7,21.3,34.5,29.3
TX,Texas,San Augustine,48405,7833,43.5,39.2,21.8,24.3,49.7,17.5
TX,Texas,Henderson,48213,86158,35.4,30.1,16.1,24.2,40.6,14.9
TX,Texas,Rusk,48401,53079,37.5,29.8,16.1,22.7,39,16.9
TX,Texas,Bee,48025,30850,39.2,32.9,14.8,19.6,34.2,27.7
TX,Texas,Howard,48227,30554,38.4,32.1,15.1,22,34.8,23.5
TX,Texas,Cherokee,48073,52217,35.7,31.8,16.9,23.6,38.7,19.1
TX,Texas,Gonzales,48177,19930,39.4,35.8,15.8,21.8,38.8,25.8
TX,Texas,Burnet,48053,53991,35.3,26.8,13.1,22.2,38.3,14.7
TX,Texas,La Salle,48283,6537,38.8,39.8,15.3,19.5,33.6,39.7
TX,Texas,Jim Wells,48249,38662,40.6,40.2,14.6,20,37.3,32.9
TX,Texas,Baylor,48023,3463,36.1,30.8,16.2,23.9,41.3,15.3
TX,Texas,Fannin,48147,37571,39.2,29.1,16.6,24.5,37.5,15.3
TX,Texas,Marion,48315,9571,39.1,33.1,17.7,23.1,46.8,13.6
TX,Texas,Dallas,48113,2606358,35.7,30.5,12.5,19.3,33.1,20.6
TX,Texas,Coleman,48083,7842,37.2,29.8,15.5,23.3,41.9,14.5
TX,Texas,Val Verde,48465,47720,37.8,36.4,13,19.5,33,32.3
TX,Texas,Wichita,48485,130180,35.3,27,14.6,23.9,34.8,15.9
